"Symbol","Date","Open","High","Low","Close","Volume"
"A",12/29/2023,139.07,139.7,138.36,139.03,1014400
"AA",12/29/2023,34.31,34.74,33.93,34,3295500
"AAA",12/29/2023,25.02,25.0336,24.96,24.96,6300
"AAAU",12/29/2023,20.415,20.49,20.4,20.435,1690000
"AAC.T",12/29/2023,0.1601,0.1601,0.1521,0.1521,6000
"AACG",12/29/2023,1.22,1.27,1.1109,1.1597,33700
"AACI",12/29/2023,10.77,10.77,10.77,10.77,600
"AACIW",12/29/2023,0.025,0.0251,0.0151,0.018,10500
"AACT",12/29/2023,10.45,10.47,10.42,10.44,6400
"AADI",12/29/2023,2.1,2.12,2,2.02,647300
"AADR",12/29/2023,55.96,56.22,55.93,56.22,500
"AAGR",12/29/2023,1.26,1.28,1.06,1.25,484100
"AAGRW",12/29/2023,0.0211,0.0279,0.0193,0.0195,15700
"AAIN",12/29/2023,23.54,23.5844,23.5,23.5,900
"AAL",12/29/2023,13.95,13.97,13.69,13.74,24308300
"AAMC",12/29/2023,4.45,4.59,3.89,4.14,32700
"AAME",12/29/2023,2.21,2.46,2.21,2.4501,19000
"AAN",12/29/2023,11.19,11.29,10.79,10.88,315200
"AAOI",12/29/2023,21.76,22.16,17.7205,19.32,7568900
"AAON",12/29/2023,74.38,75.0366,73.57,73.87,213800
"AAP",12/29/2023,61.15,61.37,60.795,61.03,1393800
"AAPB",12/29/2023,23.22,23.2204,22.8,22.97,21800
"AAPD",12/29/2023,20.04,20.2599,20,20.19,231700
"AAPL",12/29/2023,193.9,194.4,191.725,192.53,42672100
"AAPU",12/29/2023,27.67,27.77,27.23,27.41,83000
"AAPY",12/29/2023,26.7348,26.7348,26.7348,26.7348,100
"AAT",12/29/2023,22.98,22.98,22.51,22.51,296200
"AAU",12/29/2023,0.145,0.1451,0.145,0.145,257300
"AAXJ",12/29/2023,66.23,66.77,66.23,66.57,481200
"AB",12/29/2023,31.13,31.51,30.7701,31.03,495400
"ABAT",12/29/2023,4.97,4.97,4.66,4.69,463400
"ABBV",12/29/2023,154.54,155.21,154.41,154.97,3712000
"ABCB",12/29/2023,53.42,53.58,52.72,53.05,351100
"ABCL",12/29/2023,5.95,5.95,5.63,5.71,1555100
"ABCS",12/29/2023,25.39,25.39,25.3282,25.3282,200
"ABEO",12/29/2023,5.19,5.19,4.97,5.01,144900
"ABEQ",12/29/2023,28.34,28.4,28.31,28.3645,5000
"ABEV",12/29/2023,2.8,2.82,2.8,2.8,2003400
"ABG",12/29/2023,226.6,226.6,222.82,224.97,126200
"ABIO",12/29/2023,1.71,1.75,1.6585,1.7,47800
"ABL",12/29/2023,10.15,10.43,9.65,9.66,91100
"ABLLL",12/29/2023,25.26,25.26,25.26,25.26,100
"ABLLW",12/29/2023,0.7326,0.76,0.64,0.7464,148500
"ABLV",12/29/2023,2.55,3.09,2.43,2.7,52300
