CUSIP NO,ASTRK,ISSUER NAME,ISSUER DESCRIPTION,STATUS
00032Q 10 4,*,AADI BIOSCIENCE INC,COM,
00032Q 90 4,,AADI BIOSCIENCE INC,CALL,
00032Q 95 4,,AADI BIOSCIENCE INC,PUT,
000360 20 6,*,AAON INC,COM PAR $0.004,
000360 90 6,,AAON INC,CALL,
000360 95 6,,AAON INC,PUT,
000361 10 5,*,AAR CORP,COM,
000361 90 5,,AAR CORP,CALL,
000361 95 5,,AAR CORP,PUT,
000380 20 4,*,ABCAM PLC,ADS,DELETED
000380 90 4,,ABCAM PLC,CALL,DELETED
000380 95 4,,ABCAM PLC,PUT,DELETED
00039J 10 3,,AB ACTIVE ETFS INC,ULTRA SHORT INCM,
00039J 20 2,,AB ACTIVE ETFS INC,TAX AWARE SHRT,
00039J 30 1,,AB ACTIVE ETFS INC,US LOW VOLATIL,
00039J 40 0,,AB ACTIVE ETFS INC,US HIGH DIVIDEND,
00039J 50 9,,AB ACTIVE ETFS INC,DISRUPTORS ETF,
00039J 60 8,,AB ACTIVE ETFS INC,HIGH YIELD ETF,
00039J 70 7,,AB ACTIVE ETFS INC,US LARGE CAP STR,
00039J 80 6,,AB ACTIVE ETFS INC,CONSERVATIVE,ADDED
00039J 85 5,,AB ACTIVE ETFS INC,CORE PLUS BD ETF,ADDED
00039J 86 3,,AB ACTIVE ETFS INC,CORPORATE BD ETF,ADDED
00039J 87 1,,AB ACTIVE ETFS INC,TAX AWARE LONG M,ADDED
00039J 88 9,,AB ACTIVE ETFS INC,TAX AWARE INTERM,ADDED
00081T 10 8,*,ACCO BRANDS CORP,COM,
00081T 90 8,,ACCO BRANDS CORP,CALL,
00081T 95 8,,ACCO BRANDS CORP,PUT,
00085X 10 5,,ABRI SPAC I INC,COMMON STOCK,DELETED
00085X 11 3,,ABRI SPAC I INC,*W EXP 09/18/202,DELETED
00085X 20 4,,ABRI SPAC I INC,UNIT 09/18/2026,DELETED
000868 10 9,*,ACNB CORP,COM,
000868 90 9,,ACNB CORP,CALL,
000868 95 9,,ACNB CORP,PUT,
000899 10 4,*,ADMA BIOLOGICS INC,COM,
000899 90 4,,ADMA BIOLOGICS INC,CALL,
000899 95 4,,ADMA BIOLOGICS INC,PUT,
00090Q 10 3,*,ADT INC DEL,COM,
00090Q 90 3,,ADT INC DEL,CALL,
00090Q 95 3,,ADT INC DEL,PUT,
00091E 10 9,*,ABSCI CORPORATION,COM,
00091E 90 9,,ABSCI CORPORATION,CALL,
00091E 95 9,,ABSCI CORPORATION,PUT,
00091F 30 4,,ABVC BIOPHARMA INC,COM NEW,
00091G 10 4,*,ACV AUCTIONS INC,COM CL A,
00091G 90 4,,ACV AUCTIONS INC,CALL,
00091G 95 4,,ACV AUCTIONS INC,PUT,
000957 10 0,*,ABM INDS INC,COM,
000957 90 0,,ABM INDS INC,CALL,
000957 95 0,,ABM INDS INC,PUT,
001055 10 2,*,AFLAC INC,COM,
001055 90 2,,AFLAC INC,CALL,
001055 95 2,,AFLAC INC,PUT,
001084 10 2,*,AGCO CORP,COM,
001084 90 2,,AGCO CORP,CALL,
001084 95 2,,AGCO CORP,PUT,
00108J 10 9,*,ACM RESH INC,COM CL A,
00108J 90 9,,ACM RESH INC,CALL,
00108J 95 9,,ACM RESH INC,PUT,
00109K 10 5,*,AFC GAMMA INC,COM,
00109K 90 5,,AFC GAMMA INC,CALL,
00109K 95 5,,AFC GAMMA INC,PUT,
00110G 40 8,*,AGF INVTS TR,US MARKET NETRL,
00110G 60 6,,AGF INVTS TR,GLOBAL INFRASTR,
00110G 90 8,,AGF INVTS TR,CALL,
00110G 95 8,,AGF INVTS TR,PUT,
001228 50 1,*,AG MTG INVT TR INC,COM NEW,
001228 90 1,,AG MTG INVT TR INC,CALL,
001228 95 1,,AG MTG INVT TR INC,PUT,
00123Q 10 4,*,AGNC INVT CORP,COM,
00123Q 90 4,,AGNC INVT CORP,CALL,
00123Q 95 4,,AGNC INVT CORP,PUT,
00130H 10 5,*,AES CORP,COM,
00130H 20 4,,AES CORP,UNIT 02/15/2024,
00130H 90 5,,AES CORP,CALL,
00130H 95 5,,AES CORP,PUT,
00138L 10 8,,ATRENEW INC,SPONSORED ADS,
00152K 10 1,*,A K A BRANDS HLDG CORP,COM,DELETED
00152K 20 0,*,A K A BRANDS HLDG CORP,COM SHS,ADDED
00152K 90 0,,A K A BRANDS HLDG CORP,CALL,ADDED
00152K 90 1,,A K A BRANDS HLDG CORP,CALL,DELETED
00152K 95 0,,A K A BRANDS HLDG CORP,PUT,ADDED
00152K 95 1,,A K A BRANDS HLDG CORP,PUT,DELETED
00162Q 10 6,,ALPS ETF TR,REIT DIVIDE DOGS,
00162Q 20 5,*,ALPS ETF TR,EQUAL SEC ETF,
00162Q 34 6,,ALPS ETF TR,SMITH CORE PLUS,ADDED
00162Q 35 3,,ALPS ETF TR,LEVEL FOUR LARGE,
00162Q 36 1,*,ALPS ETF TR,OSHS GBL INTER,
00162Q 37 9,,ALPS ETF TR,OSHARES EUR QLT,
00162Q 38 7,*,ALPS ETF TR,OSHARES US QUALT,
00162Q 39 5,*,ALPS ETF TR,OSHARES US SMLCP,
00162Q 41 1,,ALPS ETF TR,INTER MUNI BD,
00162Q 42 9,,ALPS ETF TR,GLOBAL TRAVEL,
00162Q 44 5,,ALPS ETF TR,ACTIVE REIT ETF,
00162Q 45 2,*,ALPS ETF TR,ALERIAN MLP,
00162Q 46 0,*,ALPS ETF TR,CLEAN ENERGY,
00162Q 47 8,*,ALPS ETF TR,DISRUPTIVE TECH,
00162Q 51 0,,ALPS ETF TR,ACTIVE EQTY OPPT,
00162Q 52 8,,ALPS ETF TR,RIVERFRNT DYMC,
00162Q 53 6,,ALPS ETF TR,RIVERFRONT DYM,
00162Q 59 3,*,ALPS ETF TR,MED BREAKTHGH,
00162Q 66 8,,ALPS ETF TR,EM SECT DIV DG,
00162Q 67 6,*,ALPS ETF TR,ALERIAN ENERGY,
00162Q 71 8,,ALPS ETF TR,INTL SEC DV DOG,
00162Q 72 6,*,ALPS ETF TR,BARRONS 400 ETF,
00162Q 78 3,,ALPS ETF TR,RIVRFRNT STR INC,
00162Q 85 8,*,ALPS ETF TR,SECTR DIV DOGS,
00162Q 90 0,,ALPS ETF TR,CALL,
00162Q 90 1,,ALPS ETF TR,CALL,
00162Q 90 2,,ALPS ETF TR,CALL,
00162Q 90 3,,ALPS ETF TR,CALL,
00162Q 90 5,,ALPS ETF TR,CALL,
00162Q 90 5,,ALPS ETF TR,CALL,
00162Q 90 6,,ALPS ETF TR,CALL,
00162Q 90 6,,ALPS ETF TR,CALL,
00162Q 90 7,,ALPS ETF TR,CALL,
00162Q 90 8,,ALPS ETF TR,CALL,
00162Q 90 8,,ALPS ETF TR,CALL,
00162Q 95 0,,ALPS ETF TR,PUT,
00162Q 95 1,,ALPS ETF TR,PUT,
00162Q 95 2,,ALPS ETF TR,PUT,
00162Q 95 3,,ALPS ETF TR,PUT,
00162Q 95 5,,ALPS ETF TR,PUT,
00162Q 95 5,,ALPS ETF TR,PUT,
00162Q 95 6,,ALPS ETF TR,PUT,
00162Q 95 6,,ALPS ETF TR,PUT,
00162Q 95 7,,ALPS ETF TR,PUT,
00162Q 95 8,,ALPS ETF TR,PUT,
00162Q 95 8,,ALPS ETF TR,PUT,
00164V 10 3,*,AMC NETWORKS INC,CL A,
00164V 90 3,,AMC NETWORKS INC,CALL,
