CUSIP NO,ASTRK,ISSUER NAME,ISSUER DESCRIPTION,STATUS
G0131Y 12 6,,AGRICULTURE & NAT SOL ACQ CO,UNIT 99/99/9999,ADDED
G0132V 10 5,,AGM GROUP HOLDINGS INC,SHS CL A,
G01341 11 7,,AIMEI HEALTH TECHNOLOGY CO L,UNIT 11/17/2028,ADDED
G0135E 10 0,,AIMFINITY INVESTMENT CORP I,UNIT 02/01/2029,
G0135E 12 6,,AIMFINITY INVESTMENT CORP I,*W EXP 04/21/202,
G0135E 14 2,,AIMFINITY INVESTMENT CORP I,UNIT 04/21/2027,
G0136H 10 2,,AERIES TECHNOLOGY INC,CL A ORD SHS,ADDED
G0136H 11 0,,AERIES TECHNOLOGY INC,*W EXP 11/06/202,ADDED
G01490 13 8,,AI TRANSN ACQUISITION CORP,UNIT 99/99/9999,ADDED
G0176J 10 9,*,ALLEGION PLC,ORD SHS,
G0176J 90 9,,ALLEGION PLC,CALL,
G0176J 95 9,,ALLEGION PLC,PUT,
G01767 10 5,*,ALKERMES PLC,SHS,
G01767 90 5,,ALKERMES PLC,CALL,
G01767 95 5,,ALKERMES PLC,PUT,
G0223V 10 5,,ALPHATIME ACQUISITION CORP,ORDINARY SHARES,
G0223V 11 3,,ALPHATIME ACQUISITION CORP,UNIT 03/01/2028,
G0223V 12 1,,ALPHATIME ACQUISITION CORP,*W EXP 03/01/202,
G0223V 13 9,,ALPHATIME ACQUISITION CORP,RIGHT 03/01/2028,
G0230C 10 8,,ALPHA STAR ACQUISITION CORP,ORDINARY SHARES,
G0230C 11 6,,ALPHA STAR ACQUISITION CORP,*W EXP 12/13/202,
G0230C 12 4,,ALPHA STAR ACQUISITION CORP,UNIT 12/13/2026,
G0230C 13 2,,ALPHA STAR ACQUISITION CORP,RIGHT 05/30/2023,
G0231L 10 7,,ALSP ORCHID ACQUISITION CORP,CLASS A ORD,DELETED
G0231L 11 5,,ALSP ORCHID ACQUISITION CORP,UNIT 11/30/2028,DELETED
G0231L 12 3,,ALSP ORCHID ACQUISITION CORP,*W EXP 11/30/202,DELETED
G0232F 10 9,,ALCHEMY INVTS ACQUISITN CORP,SHS CL A,
G0232F 11 7,,ALCHEMY INVTS ACQUISITN CORP,UNIT 11/30/2027,
G0232F 13 3,,ALCHEMY INVTS ACQUISITN CORP,*W EXP 11/30/202,
G0232G 10 7,,ALPHA TECHNOLOGY GROUP LIMIT,SHS,ADDED
G0250X 10 7,*,AMCOR PLC,ORD,
G0250X 90 7,,AMCOR PLC,CALL,
G0250X 95 7,,AMCOR PLC,PUT,
G02532 10 2,,AMBIPAR EMERGENCY RESPONSE,CL A ORD SHS,
G02532 11 0,,AMBIPAR EMERGENCY RESPONSE,*W EXP 99/99/999,
G02602 10 3,*,AMDOCS LTD,SHS,
G02602 90 3,,AMDOCS LTD,CALL,
G02602 95 3,,AMDOCS LTD,PUT,
G0283A 10 8,,ALPHAVEST ACQUISITION CORP,ORDINARY SHARES,
G0283A 11 6,,ALPHAVEST ACQUISITION CORP,RIGHT 06/19/2024,
G0283A 12 4,,ALPHAVEST ACQUISITION CORP,UNIT 06/19/2024,
G0360L 13 4,,ALTAMIRA THERAPEUTICS LTD,SHS,ADDED
G0360L 20 9,,ALTAMIRA THERAPEUTICS LTD,SHS NEW,DELETED
G0369L 10 1,,ANGHAMI INC,ORD SHS,
G0369L 11 9,,ANGHAMI INC,*W EXP 02/03/202,
