cusip,ticker,company
00081T 90 8,,
00081T 95 8,,
00085X105,ASPA,"Abri SPAC I, Inc."
00085X 11 3,,
00085X204,ASPAU,"Abri SPAC I, Inc."
000868109,ACNB,ACNB Corporation
000868 90 9,,
000868 95 9,,
000899104,ADMA,"ADMA Biologics, Inc."
000899 90 4,,
000899 95 4,,
00090Q103,ADT,ADT Inc.
00090Q 90 3,,
00090Q 95 3,,
00091E109,ABSI,Absci Corporation
00091E 90 9,,
00091E 95 9,,
00091F 30 4,,
00091G104,ACVA,ACV Auctions Inc.
00091G 90 4,,
00091G 95 4,,
000957100,ABM,ABM Industries Incorporated
000957 90 0,,
000957 95 0,,
001055102,AFL,Aflac Incorporated
